Order_ID,Order_Date,Ship_Date,Region,Country,Category,Sub_Category,Product_Name,Sales,Profit,Quantity
ORD-100001,2019-12-18,2019-12-21,Central,USA,Furniture,Bookcases,Bookcases Product 1,1764.59,238.14,9
ORD-100002,2019-03-21,2019-03-25,East,Canada,Office Supplies,Paper,Paper Product 2,436.53,23.76,4
ORD-100003,2019-02-11,2019-02-14,West,India,Furniture,Bookcases,Bookcases Product 3,1371.04,183.84,3
ORD-100004,2019-03-01,2019-03-05,West,Canada,Furniture,Tables,Tables Product 4,464.87,101.46,3
ORD-100005,2019-12-29,2020-01-03,South,India,Furniture,Tables,Tables Product 5,1242.9,297.43,3
ORD-100006,2019-07-13,2019-07-16,East,India,Furniture,Chairs,Chairs Product 6,214.86,42.54,4
ORD-100007,2019-12-31,2020-01-05,East,USA,Furniture,Bookcases,Bookcases Product 7,326.01,66.46,7
ORD-100008,2019-06-11,2019-06-15,Central,UK,Technology,Phones,Phones Product 8,1770.59,169.38,2
ORD-100009,2019-05-30,2019-06-03,East,UK,Office Supplies,Paper,Paper Product 9,431.05,22.49,3
ORD-100010,2019-08-16,2019-08-21,East,Canada,Technology,Laptops,Laptops Product 10,1479.55,348.65,7
ORD-100011,2019-12-21,2019-12-26,East,UK,Furniture,Bookcases,Bookcases Product 11,588.21,36.82,5
ORD-100012,2019-02-02,2019-02-04,Central,India,Technology,Accessories,Accessories Product 12,241.34,17.48,4
ORD-100013,2019-09-12,2019-09-15,South,UK,Office Supplies,Binders,Binders Product 13,1445.18,98.96,5
ORD-100014,2019-11-22,2019-11-23,Central,India,Office Supplies,Binders,Binders Product 14,1331.05,294.74,10
ORD-100015,2019-08-28,2019-08-31,East,UK,Technology,Laptops,Laptops Product 15,1172.3,101.09,8
ORD-100016,2019-08-22,2019-08-26,South,USA,Office Supplies,Paper,Paper Product 16,1134.5,183.42,6
ORD-100017,2019-02-09,2019-02-12,West,UK,Furniture,Tables,Tables Product 17,117.09,25.72,7
ORD-100018,2019-06-10,2019-06-11,Central,India,Office Supplies,Paper,Paper Product 18,1524.17,176.4,5
ORD-100019,2019-11-23,2019-11-27,West,USA,Furniture,Chairs,Chairs Product 19,943.83,163.77,1
ORD-100020,2019-01-04,2019-01-09,South,Canada,Furniture,Chairs,Chairs Product 20,854.61,134.28,3
ORD-100021,2019-07-06,2019-07-07,East,Canada,Office Supplies,Storage,Storage Product 21,226.54,43.78,3
ORD-100022,2019-08-03,2019-08-05,South,Canada,Furniture,Chairs,Chairs Product 22,788.12,192.63,2
ORD-100023,2019-12-18,2019-12-23,Central,Canada,Technology,Phones,Phones Product 23,1247.25,229.85,1
ORD-100024,2019-02-18,2019-02-22,East,Canada,Technology,Phones,Phones Product 24,1623.96,148.87,7
ORD-100025,2019-07-27,2019-07-30,South,USA,Furniture,Tables,Tables Product 25,1937.35,395.76,5
ORD-100026,2019-02-27,2019-02-28,West,USA,Technology,Accessories,Accessories Product 26,1619.32,320.07,4
ORD-100027,2019-10-08,2019-10-13,South,USA,Furniture,Bookcases,Bookcases Product 27,164.58,31.36,7
ORD-100028,2019-04-04,2019-04-05,South,UK,Technology,Accessories,Accessories Product 28,761.88,183.95,8
ORD-100029,2019-02-21,2019-02-26,East,India,Technology,Phones,Phones Product 29,1338.55,300.98,7
ORD-100030,2019-06-01,2019-06-02,West,Canada,Technology,Laptops,Laptops Product 30,1793.51,221.81,7
ORD-100031,2019-07-20,2019-07-22,Central,Canada,Office Supplies,Binders,Binders Product 31,619.03,88.13,1
ORD-100032,2019-10-06,2019-10-09,East,Canada,Technology,Phones,Phones Product 32,1078.5,261.09,4
ORD-100033,2019-05-14,2019-05-18,South,UK,Furniture,Chairs,Chairs Product 33,1296.02,98.14,3
ORD-100034,2019-02-15,2019-02-17,East,India,Office Supplies,Paper,Paper Product 34,1339.82,332.09,1
ORD-100035,2019-06-21,2019-06-24,West,UK,Furniture,Bookcases,Bookcases Product 35,760.1,40.16,4
ORD-100036,2019-07-21,2019-07-23,South,India,Technology,Phones,Phones Product 36,118.62,20.11,1
ORD-100037,2019-07-08,2019-07-13,Central,Canada,Office Supplies,Paper,Paper Product 37,1504.93,240.74,3
ORD-100038,2019-10-13,2019-10-16,East,USA,Office Supplies,Storage,Storage Product 38,656.48,92.06,10
ORD-100039,2019-01-25,2019-01-28,South,USA,Furniture,Bookcases,Bookcases Product 39,51.37,6.26,6
ORD-100040,2019-05-18,2019-05-22,East,UK,Office Supplies,Binders,Binders Product 40,1987.62,437.51,9
ORD-100041,2019-10-29,2019-11-02,Central,USA,Furniture,Tables,Tables Product 41,323.32,40.92,3
ORD-100042,2019-05-08,2019-05-11,Central,USA,Office Supplies,Binders,Binders Product 42,1425.19,111.32,10
ORD-100043,2019-07-25,2019-07-27,West,Canada,Office Supplies,Storage,Storage Product 43,956.68,98.1,1
ORD-100044,2019-12-10,2019-12-12,South,India,Office Supplies,Binders,Binders Product 44,1432.4,189.86,8
ORD-100045,2019-07-09,2019-07-12,West,USA,Furniture,Tables,Tables Product 45,1523.56,145.81,2
ORD-100046,2019-12-04,2019-12-06,South,Canada,Office Supplies,Paper,Paper Product 46,1700.75,248.94,1
ORD-100047,2019-08-02,2019-08-07,West,Canada,Technology,Laptops,Laptops Product 47,268.85,32.91,4
ORD-100048,2019-07-26,2019-07-28,Central,India,Office Supplies,Paper,Paper Product 48,1357.6,259.33,3
ORD-100049,2019-05-24,2019-05-28,East,USA,Technology,Accessories,Accessories Product 49,1179.3,97.01,1
ORD-100050,2019-11-06,2019-11-10,East,Canada,Technology,Accessories,Accessories Product 50,1245.01,278.99,6
ORD-100051,2019-07-30,2019-07-31,East,UK,Office Supplies,Binders,Binders Product 51,1690.49,201.18,2
ORD-100052,2019-01-29,2019-02-02,Central,USA,Office Supplies,Binders,Binders Product 52,495.86,55.94,10
ORD-100053,2019-01-19,2019-01-21,South,UK,Office Supplies,Storage,Storage Product 53,1307.63,146.94,6
ORD-100054,2019-03-19,2019-03-20,East,UK,Office Supplies,Paper,Paper Product 54,329.01,24.99,1
ORD-100055,2019-01-09,2019-01-12,Central,USA,Office Supplies,Binders,Binders Product 55,88.35,7.88,10
ORD-100056,2019-02-11,2019-02-12,West,USA,Technology,Accessories,Accessories Product 56,1997.71,217.13,9
ORD-100057,2019-02-22,2019-02-25,West,India,Furniture,Chairs,Chairs Product 57,162.51,33.13,1
ORD-100058,2019-08-04,2019-08-09,Central,USA,Office Supplies,Binders,Binders Product 58,410.18,39.58,5
